GEOID,Capita,Population 2021,GDP,GDP,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
01101,52329,"224,980","14,441,833,000","14,441,833",1.566383815,0.392724864,107.7,29.8,54,-0.127218153,3.666166159,561.0778476,275983,0,0,0.224218758,0.034784532,0.28170137,0.002197086,0.2197086
01103,44136,"125,133","6,014,993,000","6,014,993",1.498928622,1.748946588,146,37.6,45.1,0.043448469,3.191198017,413.2713393,136283.3333,0,0,0.265500225,0.026860088,0.294525783,0.002100369,0.2100369
01105,32304,"7,738","165,321,000","165,321",1.416741883,0.352196975,118.8,43.3,51.7,-0.140509309,0.626021923,49.22032614,5117.666667,0,0,0.236508108,0.00430745,0.289024686,0.000294443,0.0294443
01107,48339,"18,688","444,818,000","444,818",1.398725407,0.132409892,88,44.2,53,-0.129650019,0.705502843,62.34698157,9202,0,0,0.224209469,0.005010239,0.303003225,0.000340377,0.0340377
01109,77768,"33,137","1,565,154,000","1,565,154",1.562587466,0.401747672,92.5,35.3,57,-0.106426063,1.053208398,116.6631537,20126,0,0,0.241543134,0.007862361,0.279249326,0.000530322,0.0530322
01111,55182,"22,786","512,986,000","512,986",1.616994152,0.222207084,98.6,45.1,57.1,-0.095005847,1.027622731,104.0654986,9296.333333,0,0,0.269736761,0.007323898,0.307502928,0.00060748,0.060748
01113,47188,"58,744","1,613,861,000","1,613,861",1.215505511,0.33721941,97.8,55.8,54,-0.111808899,1.382504804,179.2954474,34200.33333,0,0,0.24473,0.010700289,0.296949744,0.000777617,0.0777617
01115,21161,"95,552","2,110,781,000","2,110,781",1.135256574,0.398463524,101.4,44.4,44.6,-0.097578233,2.547632759,259.0562666,99746.66667,0,0,0.182019862,0.020973813,0.314338292,0.001200034,0.1200034
01117,31434,"233,000","12,947,298,000","12,947,298",1.543814338,0.440382248,108.9,37,52.9,-0.10867515,5.501749947,721.7848701,411894,0,0,0.238209047,0.052052659,0.284228565,0.003524268,0.3524268
01119,52780,"11,727","304,877,000","304,877",1.359359896,0.502976684,107.6,52.4,55.4,-0.063140563,0.563110019,45.46380795,5776.333333,0,0,0.264682016,0.003884732,0.302806538,0.000311351,0.0311351
01121,50076,"81,132","3,278,496,000","3,278,496",1.415703268,0.435466711,107.8,40,50.4,-0.087344134,1.992485622,255.3033668,65470.66667,0,0,0.223240389,0.016046349,0.2969508,0.001063735,0.1063735
